AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,all,x
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6458060029429294e-14,4.4186513512808533e-13,1.1348222337989484e-11,1.460296924898983e-10,8.829790380406352e-10,2.0139706509968486e-09,3.0548059270605293e-09,0.001
5.813877677212822e-13,6.952987949400057e-12,1.7620530690587687e-10,2.2373901705481697e-09,1.3349357247530886e-08,3.004502061538274e-08,4.5815507716084793e-08,0.002
2.933480988886425e-12,3.4617704907940826e-11,8.656756186889083e-10,1.0846442903869963e-08,6.385800861532923e-08,1.41819819674944e-07,2.1742749799872896e-07,0.003
9.240395845364138e-12,1.0760067025787362e-10,2.6551025387725204e-09,3.282636947305326e-08,1.9070421713587298e-07,4.1791817767535803e-07,6.4422070788916e-07,0.004
2.248448682719748e-11,2.583549502214148e-10,6.29060644498315e-09,7.674383148222356e-08,4.3993683726241215e-07,9.513289211202638e-07,1.4745810357469314e-06,0.005
4.646867784565359e-11,5.268700722738575e-10,1.2658687107980123e-08,1.5238739129006332e-07,8.619960820265925e-07,1.8393105855174783e-06,2.866926084692234e-06,0.006
8.580247711531535e-11,9.599584752825663e-10,2.2758675803418425e-08,2.7034401875095235e-07,1.5089763380320223e-06,3.177178500463452e-06,4.980303294002243e-06,0.007
1.4588813276087729e-10,1.6105788579251938e-09,3.7677835251471316e-08,4.4163666919999434e-07,2.4324291370876005e-06,5.053692223133452e-06,7.967192331663205e-06,0.008
2.329069280516421e-10,2.53719497290579e-09,5.856891761990537e-08,6.774165271098993e-07,3.681631067651946e-06,7.5477631818375124e-06,1.196814979612022e-05,0.009000000000000001
3.538056151740308e-10,3.8031684630887925e-09,8.663000229996597e-08,9.887040718113864e-07,5.3022500852730895e-06,1.0726242561894456e-05,1.710798369535716e-05,0.010000000000000002
5.162829864596963e-10,5.476184382814639e-09,1.2308644601791014e-07,1.3861736397771427e-06,7.3353514708973675e-06,1.4642584559592551e-05,2.3493188583654247e-05,0.011000000000000003
7.287765819940596e-10,7.627708093387158e-09,1.6917478810994742e-07,1.8799766353707531e-06,9.816691672386777e-06,1.9336210733862878e-05,3.121041031440573e-05,0.012000000000000004
1.0004495325372729e-09,1.033247226607155e-08,2.2612846349402343e-07,2.47959898159262e-06,1.2776254523618252e-05,2.4832427823269333e-05,4.032574271377283e-05,0.013000000000000005
1.3411775366967654e-09,1.3667992768950636e-08,2.951651850463023e-07,3.19374880695204e-06,1.6237989936237693e-05,3.114277453470683e-05,5.0884687633248515e-05,0.014000000000000005
1.7615359712976215e-09,1.771411225569363e-08,3.7747586576009094e-07,4.030270736710131e-06,2.021972016447129e-05,3.8265692865304885e-05,6.291263528047339e-05,0.015000000000000006
2.272787133904097e-09,2.25525703147327e-08,4.742149592557266e-07,4.996083498749876e-06,2.4733183210703456e-05,4.618743686009759e-05,7.641574388625528e-05,0.016000000000000007
2.8868676164526166e-09,2.826659907655215e-08,5.864921049458534e-07,6.097137868452291e-06,2.9784186921019815e-05,5.488314666360889e-05,9.138211702471986e-05,0.017000000000000008
3.616375808963523e-09,3.494054321480919e-08,7.153649714646436e-07,7.338392265254882e-06,3.537285086308605e-05,6.43180285854143e-05,0.00010778319360424365,0.01800000000000001
4.474559532305851e-09,4.265950331385684e-08,8.618331988638711e-07,8.723803577961077e-06,4.149391622678516e-05,7.444859292688553e-05,0.00012557527999334183,0.01900000000000001
5.4753037989962216e-09,5.1509001610959854e-08,1.0268333465842244e-06,1.0256331038145016e-05,4.813710678022455e-05,8.52239107382193e-05,0.00014470116620858307,0.02000000000000001
6.63311870101981e-09,6.157466915611937e-08,1.2112347603468772e-06,1.1937951182819345e-05,5.528752638571609e-05,9.658685869473453e-05,0.000165091778811474,0.02100000000000001
7.963127423668249e-09,7.294195346597524e-08,1.415836276897011e-06,1.3769682150451614e-05,6.292608076449603e-05,0.00010847532807909698,0.0001866678323518313,0.022000000000000013
9.48105438439587e-09,8.569584578077772e-08,1.6413636909858878e-06,1.5751615739868068e-05,7.102991312466548e-05,0.00012082337959046967,0.00020934144904615428,0.023000000000000013
1.1203213495702724e-08,9.992062706492629e-08,1.8884679141182952e-06,1.788295583090854e-05,7.957284496071873e-05,0.00013356233051281497,0.00023301772305912123,0.024000000000000014
1.3146496551059181e-08,1.1569963192211042e-07,2.157723759434271e-06,2.016206192013887e-05,8.852581481922384e-05,0.0001466217647863133,0.00025759621141358344,0.025000000000000015
1.5328361732893804e-08,1.331150296256643e-07,2.4496292916533757e-06,2.258649666564103e-05,9.785730912556497e-05,0.00015993045984692426,0.0002829723383211422,0.026000000000000016
1.7766822241672723e-08,1.5224762149340426e-07,2.764605685301322e-06,2.515307646295958e-05,0.00010753378030092339,0.0001734172268251893,0.00030903870371810867,0.027000000000000017
2.0480435045105092e-08,1.731766538639774e-07,3.1029975384767313e-06,2.785792419068466e-05,0.00011752004838472919,0.00018701166291043523,0.0003356862901132349,0.028000000000000018
2.348828974651622e-08,1.9597964595863544e-07,3.4650735932133302e-06,3.069652336981675e-05,0.00012777968323180534,0.00020064481646420325,0.0003628055645947438,0.02900000000000002
2.6809997571435914e-08,2.2073223193838366e-07,3.851027817062967e-06,3.366377307684853e-05,0.0001382753650899167,0.0002142497668714175,0.0003902874750847555,0.03000000000000002
3.046568047145626e-08,2.475080164916766e-07,4.2609808038796415e-06,3.675404303720853e-05,0.00014896922199557832,0.0002277621222057636,0.0004180243417393932,0.03100000000000002
3.44759603444198e-08,2.7637844331224203e-07,4.694981454935511e-06,3.99612284040753e-05,0.00015982314296559915,0.00024112043860603582,0.0004459106458343024,0.03200000000000002
3.886194837000446e-08,3.0741267585025754e-07,5.1530089044579904e-06,4.3278803798275804e-05,0.00017079906641960489,0.000254266565855472,0.000473843719602031,0.03300000000000002
4.364523445977937e-08,3.4067748974298993e-07,5.6349746564525475e-06,4.669987624865753e-05,0.00018185924365428016,0.00026714592406338234,0.0005017243413469754,0.03400000000000002
4.884787682081049e-08,3.762371763531647e-07,6.140724902279074e-06,5.0217236729559394e-05,0.00019296647751190036,0.00027970771659973503,0.0005294572407966479,0.035000000000000024
5.4492391631902287e-08,4.1415345686476196e-07,6.670042990889439e-06,5.382341004333749e-05,0.00020408433665161158,0.0002919050845564813,0.0005569515200908165,0.036000000000000025
6.060174283156756e-08,4.5448540640671097e-07,7.222652025920048e-06,5.751070284184049e-05,0.0002151773460488006,0.0003036952080281302,0.0005841209960939295,0.037000000000000026
6.719933201682332e-08,4.972893876950124e-07,7.798217565973052e-06,6.127124962172469e-05,0.0002262111545219404,0.0003150393594388499,0.0006108844698681999,0.03800000000000003
7.43089884519177e-08,5.426189937032663e-07,8.396350406422815e-06,6.509705656499325e-05,0.00023715268022307906,0.00032590291401170496,0.0006371659291883551,0.03900000000000003
8.195495918609788e-08,5.905249988903761e-07,9.01660942295668e-06,6.898004312852136e-05,0.00024797023513257,0.00033625532229240564,0.0006628946899345301,0.04000000000000003
9.016189927953601e-08,6.410553185323857e-07,9.658504458809418e-06,7.291208131496279e-05,0.00025863362967514756,0.00034607004941778104,0.0006880054820845127,0.04100000000000003
9.895486213653516e-08,6.942549757230003e-07,1.0321499239284809e-05,7.688503258265246e-05,0.00026911425862694054,0.00035532448556877357,0.0007124384858555109,0.04200000000000003
1.0835928994514463e-07,7.501660756243494e-07,1.1005014298683145e-05,8.0890782374242e-05,0.00027938516951498316,0.0003639998317779653,0.0007361393233314431,0.04300000000000003
1.1840100422231869e-07,8.088277865660133e-07,1.1708429906175666e-05,8.49212722631092e-05,0.0002894211147253022,0.00037208096497999316,0.0007590590106653685,0.04400000000000003
1.29106196463759e-07,8.702763276062301e-07,1.2431088978491828e-05,8.896852973333789e-05,0.0002991985885354658,0.0003795562859057785,0.000781153875677144,0.04500000000000003
1.4050141889758832e-07,9.345449621845862e-07,1.3172299968519249e-05,9.302469562350809e-05,0.00030869585027499505,0.00038641755313335147,0.000802385445381456,0.046000000000000034
1.5261357534100526e-07,1.0016639975103749e-06,1.3931339720063586e-05,9.708204927689465e-05,0.00031789293479436785,0.0003926597063232437,0.0008227203076874212,0.047000000000000035
1.654699121590809e-07,1.071660789345141e-06,1.4707456280081621e-05,0.00010113303145114695,0.0003267716513923661,0.0003982806813882097,0.0008421299512133086,0.048000000000000036
1.7909800932485904e-07,1.144559751851873e-06,1.549987166069154e-05,0.00010517026504930356,0.00033531557231387027,0.0004032812200779259,0.000860590586862968,0.04900000000000004
1.9352577157993066e-07,1.2203823721966626e-06,1.630778454418158e-05,0.00010918657374125207,0.00034351001188727306,0.0004076646762013,0.0008780829545177833,0.05000000000000004
2.0878141969465707e-07,1.299147229601677e-06,1.713037292508955e-05,0.00011317499855063896,0.00035134199732379367,0.00041143682046345135,0.0008945921179122697,0.05100000000000004
2.2489348182722347e-07,1.3808700185607643e-06,1.7966796684212223e-05,0.00011712881248690463,0.00035880023215108036,0.00041460564566237997,0.0009101072504849652,0.05200000000000004
2.4189078498070855e-07,1.4655635759411628e-06,1.8816200090131324e-05,0.00012104153330570717,0.00036587505320164685,0.00041718117377239196,0.0009246214147307993,0.05300000000000004
2.5980244655736284e-07,1.5532379117064107e-06,1.9677714224513504e-05,0.00012490693448360986,0.0003725583820235726,0.0004191752662378969,0.0009381313373278567,0.05400000000000004
2.786578660092939e-07,1.6439002430069022e-06,2.0550459328061095e-05,0.00012871905449467327,0.0003788436715272974,0.00042060143861227827,0.0009506371820713263,0.05500000000000004
2.984867165847599e-07,1.7375550313953642e-06,2.1433547064558967e-05,0.00013247220447759096,0.0003847258486287204,0.0004214746805021223,0.0009621423224209728,0.05600000000000004
3.193189371692836e-07,1.8342040229351019e-06,2.23260827009862e-05,0.00013616097438234938,0.00039020125359576945,0.00042181128161681626,0.0009726531152560256,0.057000000000000044
3.411847242207959e-07,1.9338462909789706e-06,2.3227167202140903e-05,0.00013978023768514847,0.00039526757675343893,0.00042162866457711785,0.0009821786772330457,0.058000000000000045
3.641145237980338e-07,2.0364782814068594e-06,2.4135899238665144e-05,0.0001433251547595682,0.0003999237931513966,0.0004209452250031275,0.0009907306649579622,0.059000000000000045
3.8813902368141485e-07,2.1420938601188776e-06,2.505137710775796e-05,0.00014679117499077825,0.00040417009574887094,0.0004197801792817246,0.0009983230600129319,0.060000000000000046
4.1328914558561877e-07,2.2506843625906146e-06,2.5972700566230137e-05,0.00015017403771803048,0.00040800782762389753,0.0004181534203052175,0.001004971959721552,0.06100000000000005
4.3959603746311316e-07,2.3622386453055903e-06,2.689897257588606e-05,0.00015346977208878499,0.00041143941366822163,0.0004160853813761401,0.0010106953743918015,0.06200000000000005
4.670910658978618e-07,2.476743138888508e-06,2.782930096151892e-05,0.00015667469590567308,0.00041446829218542443,0.0004135969083870612,0.001015513031644464,0.06300000000000004
4.958058085884662e-07,2.5941819027711094e-06,2.8762799982078184e-05,0.00015978541354512825,0.00041709884676821,0.0004107091403082876,0.0010194461883150634,0.06400000000000004
5.257720469199857e-07,2.7145366812302947e-06,2.9698591815812278e-05,0.0001627988130239577,0.000419336338791302,0.00040744339794974077,0.001022517450308963,0.06500000000000004
5.570217586237004e-07,2.8377869606458244e-06,3.063580796041016e-05,0.00016571206228742849,0.0004211868408191248,0.0004038210809053947,0.0010247506006916276,0.06600000000000004
5.895871105240708e-07,2.96391002783213e-06,3.157359054936083e-05,0.000168522604789629,0.00042265717119233716,0.000399863572538784,0.001026170436208467,0.06700000000000005
6.235004513721696e-07,3.0928810293059747e-06,3.2511093585925075e-05,0.0001712281544339706,0.0004237548300243829,0.0003955921528256047,0.0010268026123505616,0.06800000000000005
6.587943047648476e-07,3.224673031358344e-06,3.3447484096267094e-05,0.00017382668993874155,0.0004244879368084591,0.0003910279188336904,0.0010266734970132813,0.06900000000000005
6.955013621489228e-07,3.3592570808055846e-06,3.43819432034297e-05,0.00017631644868964063,0.0004248651698066465,0.0003861917125910496,0.001025810032733721,0.07000000000000005
7.336544759096648e-07,3.496602266301133e-06,3.531366712395405e-05,0.00017869592013821766,0.0004248957073663519,0.00038110405606864913,0.0010242396074393837,0.07100000000000005
7.732866525428665e-07,3.636675780095147e-06,3.624186808904702e-05,0.00018096383880215525,0.00042458917128460294,0.00037578509298565515,0.0010219899335940984,0.07200000000000005
8.144310459097973e-07,3.779442980135269e-06,3.716577519228498e-05,0.0001831191769203487,0.00042395557231803774,0.00037025453713038795,0.0010190889355871043,0.07300000000000005
8.571209505743277e-07,3.924867452407366e-06,3.80846351659171e-05,0.00018516113681280516,0.00042300525791561503,0.0003645316268798717,0.0010155646451771908,0.07400000000000005
9.01389795221536e-07,4.072911073420479e-06,3.899771308788989e-05,0.0001870891429924877,0.00042174886223196747,0.00035863508559405246,0.0010114451047750395,0.07500000000000005
9.472711361570986e-07,4.223534072745385e-06,3.990429302176348e-05,0.00018890283407339045,0.00042019725846194345,0.0003525830875571648,0.0010067582783231648,0.07600000000000005
9.947986508867774e-07,4.376695095521257e-06,4.080367859172793e-05,0.00019060205451636034,0.0004183615135211012,0.00034639322913792496,0.0010015319695135226,0.07700000000000005
1.044006131775323e-06,4.532351264849637e-06,4.1695193494954515e-05,0.00019218684625147572,0.00041625284508261455,0.000340082504841859,0.0009957937470675287,0.07800000000000006
1.0949274797841072e-06,4.690458243999585e-06,4.257818195353627e-05,0.00019365744021317252,0.0004138825809682408,0.0003336672879328602,0.0009895708767915935,0.07900000000000006
1.1475966982868252e-06,4.85097029835234e-06,4.3452009108281115e-05,0.0001950142478217632,0.000411262120879481,0.0003271633153066238,0.0009828902601127882,0.08000000000000006
1.2020478869625862e-06,5.013840357017995e-06,4.431606135662395e-05,0.00019625785244253933,0.0004084029004448331,0.0003205856763057577,0.0009757783787937347,0.08100000000000006
1.2583152357657264e-06,5.1790200740609394e-06,4.5169746636919596e-05,0.00019738900085128634,0.0004053163575500087,0.00031394880517476327,0.0009682612455228046,0.08200000000000006
1.3164330189717072e-06,5.346459889274558e-06,4.601249466136696e-05,0.0001984085947327576,0.0004020139009100062,0.0003072664768625832,0.0009603643600749603,0.08300000000000006
1.3764355892984047e-06,5.516109088449656e-06,4.68437570997992e-05,0.00019931768223648211,0.0003985068808350588,0.000300551805890762,0.00095211267073985,0.08400000000000006
1.4383573721021837e-06,5.687915863084494e-06,4.76630077165523e-05,0.00020011744961218167,0.0003948065621364747,0.0002938172480162944,0.0009435305407166898,0.08500000000000006
1.5022328596480781e-06,5.861827369487985e-06,4.846974246259883e-05,0.00020080921294508987,0.0003909240991133429,0.00028707460442978683,0.0009346417191799545,0.08600000000000006
1.5680966054534414e-06,6.037789787230771e-06,4.926347952510254e-05,0.00020139441000955536,0.00038687051255678444,0.0002803350282414801,0.0009254693167256067,0.08700000000000006
1.6359832187044601e-06,6.215748376902155e-06,5.0043759336515603e-05,0.00020187459225750953,0.00038265666870493733,0.00027360903301983184,0.000916035784914401,0.08800000000000006
1.705927358744844e-06,6.395647537134006e-06,5.081014454530398e-05,0.00020225141695665982,0.00037829326007902855,0.00026690650315965,0.0009063628996365212,0.08900000000000007
1.777963729636127e-06,6.577430860855433e-06,5.156221995034379e-05,0.00020252663949164398,0.000373790788128682,0.00026023670586907115,0.0008964717480302325,0.09000000000000007
1.8521270747889032e-06,6.761041190745197e-06,5.229959240099191e-05,0.00020270210583984543,0.00036915954761300446,0.0002536083045769225,0.0008863827186962984,0.09100000000000007
1.928452171664405e-06,6.946420673851136e-06,5.302189066478631e-05,0.00020277974523211453,0.0003644096126428611,0.00024702937357411745,0.0008761154949593949,0.09200000000000007
2.0069738265458184e-06,7.13351081534866e-06,5.372876526468638e-05,0.00020276156300727966,0.00035955082430914203,0.00024050741371463077,0.0008656890509376334,0.09300000000000007
2.087726869378692e-06,7.322252531412861e-06,5.441988828771528e-05,0.0002026496336680437,0.00035459277982159443,0.00023404936901325448,0.0008551216501913993,0.09400000000000007
2.170746148679871e-06,7.5125862011809035e-06,5.509495316681557e-05,0.00020244609414465817,0.00034954482308296504,0.00022766164398865923,0.0008444308467329588,0.09500000000000007
2.2560665265143254e-06,7.704451717783932e-06,5.575367443768047e-05,0.0002021531372716428,0.00034441603662371546,0.0002213501216113014,0.0008336334881886384,0.09600000000000007
2.3437228735393008e-06,7.897788538429473e-06,5.6395787472268835e-05,0.0002017730054817608,0.00033921523482335724,0.0002151201817263228,0.0008227457209156784,0.09700000000000007
2.433750064115176e-06,8.092535733517732e-06,5.7021048190663166e-05,0.00020130798472048483,0.00033395095834555256,0.00020897671983183093,0.0008117829968861644,0.09800000000000007
2.5261829714824465e-06,8.288632034776923e-06,5.762923275287495e-05,0.00020076039858327134,0.0003286314697154128,0.00020292416610274394,0.0008007600821605624,0.09900000000000007
2.621056463004267e-06,8.4860158824046e-06,5.82201372321491e-05,0.0002001326026771225,0.0003232647499689357,0.0001969665045597751,0.0007896910667833913,0.10000000000000007
2.7184053954739394e-06,8.684625471203932e-06,5.879357727126815e-05,0.0001994269792071275,0.00031785849630619977,0.00019110729229206933,0.0007785893759433425,0.10100000000000008
2.818264610486807e-06,8.884398795705233e-06,5.934938772330112e-05,0.00019864593178795407,0.00031242012068176346,0.00018534967865050888,0.0007674677822497196,0.10200000000000008
2.92066892987595e-06,9.085273694265082e-06,5.988742227819256e-05,0.00019779188047960993,0.00030695674926765865,0.00017969642433675524,0.0007563384189863574,0.10300000000000008
3.02565315121113e-06,9.28718789213644e-06,6.040755307653243e-05,0.0001968672570461669,0.00030147522272641635,0.0001741499203207186,0.0007452127942131817,0.10400000000000008
3.133252043360438e-06,9.490079043504929e-06,6.0909670311796015e-05,0.00019587450043560218,0.00029598209723369345,0.00016871220652631697,0.000734101805594274,0.10500000000000008
3.2435003421140345e-06,9.693884772487802e-06,6.139368182229418e-05,0.00019481605247840536,0.0002904836461922597,0.0001633849902321451,0.0007230157558397062,0.10600000000000008
3.3564327458694944e-06,9.898542713093179e-06,6.185951267401914e-05,0.0001936943538021293,0.00028498586258133885,0.0001581696641399897,0.0007119643686564396,0.10700000000000008
3.472083911378146e-06,1.0103990548138776e-05,6.230710473552568e-05,0.00019251183995867255,0.000279494461887572,0.00015306732407005899,0.0007009568051113461,0.10800000000000008
3.5904884495518793e-06,1.0310166047130103e-05,6.273641624593452e-05,0.00019127093776069115,0.00027401488556613995,0.00014807878624730302,0.0006900016803167505,0.10900000000000008
3.711680921329903e-06,1.0517007103099517e-05,6.314742137709841e-05,0.00018997406182322133,0.0002685523049828927,0.00014320460414834444,0.0006791070803559863,0.11000000000000008
3.835695833604857e-06,1.0724451768408496e-05,6.354010979092416e-05,0.00018862361130630206,0.00026311162579059817,0.00013844508488329303,0.0006682805793731308,0.11100000000000008
3.962567635207804e-06,1.0932438289516357e-05,6.391448619279476e-05,0.00018722196685412132,0.0002576974926946967,0.00013380030509113245,0.0006575292567574695,0.11200000000000009
4.09233071295153e-06,1.114090514071984e-05,6.427056988199413e-05,0.00018577148772600313,0.00025231429456619637,0.0001292701263314237,0.0006468597143592886,0.11300000000000009
4.225019387731611e-06,1.1349791056868543e-05,6.460839429998848e-05,0.00018427450911434655,0.00024696616986154025,0.00012485420995881027,0.0006362780936792857,0.11400000000000009
4.360667910684802e-06,1.1559035065062359e-05,6.492800657737716e-05,0.00018273333964447422,0.00024165701231146358,0.00012055203147023403,0.0006257900929792961,0.11500000000000009
4.4993104594041e-06,1.1768576515337604e-05,6.522946708028376e-05,0.00018115025905121566,0.0002363904768429773,0.00011636289431789766,0.000615400984267116,0.11600000000000009
4.640981134210111e-06,1.1978355110349266e-05,6.551284895691421e-05,0.00017952751602693263,0.00023116998570069612,0.00011228594318386432,0.0006051156301129667,0.11700000000000009
4.785713954478074e-06,1.21883109340578e-05,6.577823768497201e-05,0.00017786732623561826,0.0002259987347357481,0.00010832017671475999,0.0005949385002596342,0.11800000000000009
4.933542855020111e-06,1.2398384479429045e-05,6.602573062057907e-05,0.00017617187048763722,0.00022087969983248238,0.00010446445971738399,0.0005848736879925317,0.11900000000000009
5.0845016825221985e-06,1.2608516675156954e-05,6.625543654931338e-05,0.00017444329306962416,0.00021581564344508582,0.00010071753481812771,0.0005749249262398303,0.12000000000000009
5.238624192035305e-06,1.2818648911418853e-05,6.64674752399384e-05,0.00017268370022404175,0.0002108091212180672,9.707803359097715e-05,0.0005650956033764787,0.1210000000000001
5.39594404352026e-06,1.3028723064674199e-05,6.666197700136348e-05,0.00017089515877289588,0.0002058624886663638,9.35444871605481e-05,0.0005553887787093657,0.1220000000000001
5.556494798445812e-06,1.3238681521517304e-05,6.683908224333877e-05,0.00016907969488010104,0.00020097790789251396,9.011533628807493e-05,0.0005458071976239919,0.1230000000000001
5.7203099164393925e-06,1.3448467201595998e-05,6.699894104135678e-05,0.00016723929294703126,0.0001961573543200161,8.678894094957085e-05,0.0005363533063760103,0.1240000000000001
5.8874227519901466e-06,1.3658023579607864e-05,6.714171270619888e-05,0.00016537589463581784,0.00019140262342356092,8.356358941650914e-05,0.0005270292665136847,0.12500000000000008
6.057866551203667e-06,1.3867294706386257e-05,6.726756535853457e-05,0.00016349139801500573,0.00018671533743834626,8.043750685033921e-05,0.0005178369689198157,0.12600000000000008
6.231674448608022e-06,1.407622522908901e-05,6.737667550895173e-05,0.00016158765682224935,0.00018209695203213387,7.740886342298898e-05,0.0005087780474640209,0.12700000000000009
6.408879464010544e-06,1.4284760410502358e-05,6.746922764376584e-05,0.00015966647983878805,0.00017754876292508796,7.447578197619302e-05,0.0004998538922583478,0.12800000000000009
6.589514499404961e-06,1.4492846147473876e-05,6.754541381693084e-05,0.00015772963037053301,0.00017307191244376064,7.163634523306379e-05,0.0004910656625111671,0.1290000000000001
6.7736123359283636e-06,1.4700428988487291e-05,6.760543324834425e-05,0.00015577882583067375,0.000168667395996832,6.888860257578087e-05,0.0004824142989760466,0.1300000000000001
6.96120563086753e-06,1.4907456150393485e-05,6.764949192881659e-05,0.00015381573741881532,0.00016433606846141523,6.623057640363203e-05,0.0004739005359939402,0.1310000000000001
7.152326914714204e-06,1.511387553431126e-05,6.767780223194881e-05,0.0001518419898917586,0.00016007865046985595,6.366026808590463e-05,0.0004655249131284935,0.1320000000000001
7.347008588268792e-06,1.5319635740712122e-05,6.7690582533138e-05,0.00014985916142113242,0.00015589573458802604,6.117566352430093e-05,0.0004572877863955783,0.1330000000000001
7.5452829197920935e-06,1.552468608370365e-05,6.768805683590967e-05,0.00014786878353321487,0.00015178779137712119,5.877473833965709e-05,0.00044918933908939855,0.1340000000000001
7.747182042204564e-06,1.572897660452538e-05,6.767045440575248e-05,0.00014587234112637632,0.00014775517533191818,5.645546269777028e-05,0.0004412295922085472,0.1350000000000001
7.952737950332654e-06,1.5932458084272293e-05,6.763800941161105e-05,0.00014387127256171444,0.0001437981306893458,5.421580578911158e-05,0.0004334084144863878,0.1360000000000001
8.161982498201854e-06,1.6135082055860405e-05,6.759096057517349e-05,0.0001418669698225589,0.00013991679710206127,5.205373997711069e-05,0.00042572553203096654,0.1370000000000001
8.374947396375898e-06,1.633680081524901e-05,6.752955082806889e-05,0.00013986077873865378,0.00013611121517251125,4.996724462956123e-05,0.00041818053758042005,0.1380000000000001
8.591664209341768e-06,1.653756743193486e-05,6.745402697707576e-05,0.00013785399927095123,0.00013238133184369547,4.795430964751218e-05,0.00041077289938051126,0.1390000000000001
8.812164352940021e-06,1.6737335758732767e-05,6.736463937742209e-05,0.0001358478858530725,0.0001287270056435378,4.601293870578843e-05,0.0004035019696914936,0.1400000000000001
9.036479091840013e-06,1.693606044085782e-05,6.726164161424317e-05,0.00013384364778562475,0.0001251480117804107,4.41411522190267e-05,0.00039636699293200316,0.1410000000000001
9.26463953705962e-06,1.7133696924323908e-05,6.714529019224795e-05,0.0001318424496796873,0.00012164404708795675,4.233699004682884e-05,0.0003893671134681044,0.1420000000000001
9.496676643528951e-06,1.7330201463673765e-05,6.701584423362895e-05,0.00012984541194590687,0.00011821473481790373,4.0598513951319356e-05,0.0003825013830559616,0.1430000000000001
9.73262120769776e-06,1.752553112905519e-05,6.687356518423732e-05,0.00012785361132577433,0.00011485962928007985,3.8923809820065634e-05,0.00037576876794691007,0.1440000000000001
9.972503865185998e-06,1.771964381265853e-05,6.671871652803402e-05,0.00012586808146177597,0.00011157822032931386,3.7310989666962984e-05,0.00036916815566393136,0.1450000000000001
1.0216355088477148e-05,1.7912498234530294e-05,6.655156350980969e-05,0.00012388981350324257,0.00010836993769933381,3.5758193423327775e-05,0.0003626983614587213,0.1460000000000001
1.0464205184654e-05,1.810405394777749e-05,6.637237286616218e-05,0.00012191975674484327,0.0001052341551841818,3.4263590531056225e-05,0.00035635813445867497,0.1470000000000001
1.0716084293176297e-05,1.8294271343177854e-05,6.618141256470245e-05,0.00011995881929479159,0.00010217019466802662,3.28253813493289e-05,0.00035014616351320375,0.1480000000000001
1.0972022383700002e-05,1.8483111653210077e-05,6.59789515514531e-05,0.00011800786876995696,9.917733000458888e-05,3.144179838594126e-05,0.0003440610827488503,0.1490000000000001
1.1232049253937687e-05,1.867053695551923e-05,6.576525950639446e-05,0.0001160677330151912,9.625479074769702e-05,3.011110736394836e-05,0.000338101476842688,0.1500000000000001
