AAA-cycles,AAB-cycles,ABB-cycles,BBB-cycles,all,x
0.0015001568968804788,0.0003518886548238162,0.0003518886548238162,0.0015001568968804788,0.0037040911034085904,0.05
0.0044453742523616144,0.0010427421085786508,0.0010427421085786508,0.0044453742523616144,0.01097623272188053,0.1
0.00740973204877242,0.0017380852953910624,0.0017380852953910624,0.00740973204877242,0.018295634688326963,0.15000000000000002
0.009758692465955347,0.002289076010532737,0.002289076010532737,0.009758692465955347,0.024095536952976167,0.2
0.01129596435751426,0.0026496706517626055,0.0026496706517626055,0.01129596435751426,0.02789127001855373,0.25
0.012050288951353662,0.0028266109885891314,0.0028266109885891314,0.012050288951353662,0.029753799879885585,0.3
0.012150739093402132,0.0028501733675881553,0.0028501733675881553,0.012150739093402132,0.03000182492198058,0.35
0.011757046746307861,0.002757825779998141,0.002757825779998141,0.011757046746307861,0.029029745052612008,0.39999999999999997
0.011023384227137457,0.0025857321026618732,0.0025857321026618732,0.011023384227137457,0.027218232659598662,0.44999999999999996
0.010081881344492451,0.0023648857474735385,0.0023648857474735385,0.010081881344492451,0.02489353418393198,0.49999999999999994
0.009037298092488833,0.00211986004638627,0.00211986004638627,0.009037298092488833,0.022314316277750205,0.5499999999999999
0.007967597465630513,0.0018689426153948125,0.0018689426153948125,0.007967597465630513,0.019673080162050653,0.6
0.006927288144540405,0.0016249194413119475,0.0016249194413119475,0.006927288144540405,0.017104415171704704,0.65
0.005951744440047602,0.001396088201986475,0.001396088201986475,0.005951744440047602,0.014695665284068155,0.7000000000000001
0.00506153654773665,0.0011872740050246464,0.0011872740050246464,0.00506153654773665,0.012497621105522591,0.7500000000000001
0.004266300870211981,0.0010007372411608355,0.0010007372411608355,0.004266300870211981,0.010534076222745634,0.8000000000000002
0.0035679685088038852,0.0008369308847811584,0.0008369308847811584,0.0035679685088038852,0.008809798787170087,0.8500000000000002
0.0029633287564481696,0.0006951018070680894,0.0006951018070680894,0.0029633287564481696,0.007316861127032517,0.9000000000000002
0.0024459843985479342,0.0005737494268198859,0.0005737494268198859,0.0024459843985479342,0.0060394676507356405,0.9500000000000003
0.002007789263099748,0.00047096291356660773,0.00047096291356660773,0.002007789263099748,0.004957504353332712,1.0000000000000002
0.0016398660735062376,0.00038465994316812995,0.00038465994316812995,0.0016398660735062376,0.004049052033348735,1.0500000000000003
0.0013332967136006893,0.00031274861183226054,0.00031274861183226054,0.0013332967136006893,0.0032920906508658995,1.1000000000000003
0.0010795649462324896,0.00025323128368416435,0.00025323128368416435,0.0010795649462324896,0.0026655924598333078,1.1500000000000004
0.0008708176868905571,0.0002042658771718591,0.0002042658771718591,0.0008708176868905571,0.0021501671281248325,1.2000000000000004
0.0006999974059683505,0.00016419692238763784,0.00016419692238763784,0.0006999974059683505,0.0017283886567119767,1.2500000000000004
0.0005608862127254291,0.00013156590175040933,0.00013156590175040933,0.0005608862127254291,0.0013849042289516768,1.3000000000000005
0.0004480920641104739,0.00010510801503825936,0.00010510801503825936,0.0004480920641104739,0.0011064001582974665,1.3500000000000005
0.00035699936386633836,8.374059152420285e-05,8.374059152420285e-05,0.00035699936386633836,0.0008814799107810824,1.4000000000000006
0.00028369980075721384,6.654686684428474e-05,6.654686684428474e-05,0.00028369980075721384,0.0007004933352029971,1.4500000000000006
0.00022491436794797287,5.2757691247055374e-05,5.2757691247055374e-05,0.00022491436794797287,0.0005553441183900565,1.5000000000000007
0.00017791384006231168,4.173287606399905e-05,4.173287606399905e-05,0.00017791384006231168,0.00043929343225262144,1.5500000000000007
0.00014044230798743404,3.29432574291512e-05,3.29432574291512e-05,0.00014044230798743404,0.0003467711308331705,1.6000000000000008
0.00011064646323732866,2.595410866060797e-05,2.595410866060797e-05,0.00011064646323732866,0.00027320114379587325,1.6500000000000008
8.701199900767187e-05,2.0410221989453905e-05,2.0410221989453905e-05,8.701199900767187e-05,0.00021484444199425156,1.7000000000000008
6.830760466821625e-05,1.602277146538406e-05,1.602277146538406e-05,6.830760466821625e-05,0.00016866075226720063,1.7500000000000009
5.353645675227936e-05,1.2557934299917387e-05,1.2557934299917387e-05,5.353645675227936e-05,0.0001321887821043935,1.800000000000001
4.1894761901497434e-05,9.82716637195619e-06,9.82716637195619e-06,4.1894761901497434e-05,0.00010344385654690725,1.850000000000001
3.273671722822003e-05,7.678983053533096e-06,7.678983053533096e-06,3.273671722822003e-05,8.083140056350626e-05,1.900000000000001
2.554517036061157e-05,5.992076998168148e-06,5.992076998168148e-06,2.554517036061157e-05,6.307449471755944e-05,1.950000000000001
1.990724802478331e-05,4.66960138852942e-06,4.66960138852942e-06,1.990724802478331e-05,4.9153698826625455e-05,2.000000000000001
