AAA-cycles,AAB-cycles,all,x
0.0009125899642964312,0.0008344294104336485,0.0017470193747300797,0.05
0.0029148715502709645,0.0025994171130541443,0.005514288663325109,0.1
0.005237037469106222,0.0045549631871455,0.009792000656251722,0.15000000000000002
0.007434416635256671,0.006306504705796157,0.013740921341052828,0.2
0.009275784781667136,0.0076742356301836645,0.0169500204118508,0.25
0.010665885009430968,0.008606449034296582,0.01927233404372755,0.3
0.011592422950144553,0.009123132031148371,0.020715554981292926,0.35
0.012090432967064616,0.009280133707653444,0.02137056667471806,0.39999999999999997
0.01221885862653057,0.009147146988761802,0.021366005615292373,0.44999999999999996
0.012045625664213074,0.008794821281132018,0.020840446945345092,0.49999999999999994
0.011638539224153775,0.008287790577869596,0.01992632980202337,0.5499999999999999
0.011060107239455963,0.0076814334053275845,0.018741540644783547,0.6
0.010364951923715872,0.007020901203815381,0.017385853127531253,0.65
0.009598876418217,0.006341450518686887,0.015940326936903886,0.7000000000000001
0.008798944708714116,0.00566945659028791,0.014468401299002027,0.7500000000000001
0.007994140510293592,0.005023718095195659,0.013017858605489251,0.8000000000000002
0.007206317563967266,0.004416818142536554,0.01162313570650382,0.8500000000000002
0.006451256437938163,0.0038564087982755433,0.010307665236213705,0.9000000000000002
0.0057397138143274,0.0033463521089212994,0.0090860659232487,0.9500000000000003
0.0050783984174821925,0.0028876915710366277,0.00796608998851882,1.0000000000000002
0.004470839810603837,0.0024794524436132035,0.006950292254217041,1.0500000000000003
0.003918137053327115,0.002119282903089221,0.0060374199564163355,1.1000000000000003
0.0034195871399785014,0.0018039546871645845,0.005223541827143086,1.1500000000000004
0.002973200711937019,0.0015297442004569516,0.00450294491239397,1.2000000000000004
0.0025761165257255176,0.0012927148233667686,0.003868831349092286,1.2500000000000004
0.0022249278067058846,0.0010889195297708971,0.0033138473364767817,1.3000000000000005
0.0019159337939257987,0.0009145406180965335,0.0028304744120223324,1.3500000000000005
0.0016453290802178968,0.0007659808510657923,0.002411309931283689,1.4000000000000006
0.001409342174472091,0.0006399178510891959,0.002049260025561287,1.4500000000000006
0.001204333324242348,0.0005333313569282666,0.0017376646811706146,1.5000000000000007
0.001026860204671238,0.00044351098017132295,0.0014703711848425608,1.5500000000000007
0.0008737187060316767,0.00036805042604161207,0.0012417691320732887,1.6000000000000008
0.0007419647939534449,0.00030483275239448065,0.0010467975463479256,1.6500000000000008
0.0006289223007425618,0.00025201010847461156,0.0008809324092171733,1.7000000000000008
0.0005321805410172474,0.000207980489214423,0.0007401610302316705,1.7500000000000009
0.00044958482622881117,0.00017136332796036032,0.0006209481541891715,1.800000000000001
0.0003792222697481051,0.00014097519822005254,0.0005201974679681576,1.850000000000001
0.0003194047128707279,0.00011580647395482773,0.00043521118682555564,1.900000000000001
0.0002686501468686089,9.499948235855475e-05,0.00036364962922716366,1.950000000000001
0.0002256636417584988,7.782845102140241e-05,0.0003034920927799012,2.000000000000001
