empirical_min_dist,estimated_true_dist,best_x,best_p_aa,best_p_ab,best_p_bb,best_alpha,min_error,real_alpha,real_p_aa,real_p_bb,empirical_true_dist
99.97200000000002,99.98715276607714,0.112,0.46,0.23,0.31000000000000005,0.3441048477397062,0.0007525655629487002,0.4,0.63,0.21,100
199.75099999999998,199.66377356819592,0.1955,0.72,0.12,0.16000000000000003,0.4627584895853351,0.0005888252409068291,0.4,0.63,0.21,200
298.9059999999999,299.4735011860213,0.2895,0.24000000000000002,0.32,0.44,0.7114413469589608,0.0005305343625878916,0.4,0.63,0.21,300
393.6060000000003,397.7211133896174,0.3975,0.6900000000000001,0.13,0.17999999999999994,0.4503918246922908,0.0004911715787319837,0.4,0.63,0.21,400
473.6659999999999,498.4980991552082,0.4995,0.41000000000000003,0.29,0.3,0.2601687553253789,0.0005538221334615327,0.4,0.63,0.21,500
538.4189999999999,595.5387947027403,0.5924999999999999,0.45,0.27,0.28,0.2812388255927505,0.00036477072670643076,0.4,0.63,0.21,600
591.9200000000002,678.6113742865361,0.6779999999999999,0.42000000000000004,0.28,0.29999999999999993,0.2699839146311868,0.00030539142756821463,0.4,0.63,0.21,700
637.0009999999997,755.226805286027,0.756,0.4,0.28,0.31999999999999995,0.26207922824351937,0.0003679338725490318,0.4,0.63,0.21,800
675.728,836.3344330613801,0.8444999999999999,0.8300000000000001,0.05,0.11999999999999993,0.6191902419742921,0.0003066828058283903,0.4,0.63,0.21,900
709.3209999999997,926.100460676908,0.9359999999999999,0.47000000000000003,0.21,0.32000000000000006,0.3022691922696511,0.0003221209426561814,0.4,0.63,0.21,1000
738.884999999999,1110.743684900428,1.1159999999999999,0.8300000000000001,0.06,0.10999999999999993,0.5935559461571287,0.00024124670537199988,0.4,0.63,0.21,1100
765.4280000000006,1208.399640153479,1.2165,0.68,0.13,0.18999999999999995,0.44555879442659446,0.00030831834183576317,0.4,0.63,0.21,1200
788.9740000000008,1323.30090438696,1.321,0.91,0.03,0.05999999999999997,0.6999984558562419,0.00030925914692158876,0.4,0.63,0.21,1300
809.9359999999996,1203.900459205338,1.2025,0.9500000000000001,0.01,0.03999999999999993,0.8038436192536065,0.00021385764135021672,0.4,0.63,0.21,1400
828.7979999999998,1008.142113238212,1.008,0.01,0.09,0.9,0.10527804320144842,0.0002230369036953945,0.4,0.63,0.21,1500
