x,A,B,all
0.05,0.03652161411367338,0.029341836355699147,0.0036007342535994765
0.1,0.012364797909483667,0.018660784675595135,0.0031455869918719107
0.15000000000000002,0.05609285573546051,0.05270204283440132,0.0017249977771099188
0.2,0.015803976033260923,0.0692754913950641,0.0267176662283355
0.25,0.0031885726430629447,0.1265607914358488,0.06164404809867385
0.3,0.08854281391404367,0.24982209943418118,0.0803536463500892
0.35,0.11921207466751986,0.3153996152528983,0.09762201475294602
0.39999999999999997,0.34842224058069393,0.0064616369973074924,0.17773480108555162
0.44999999999999996,0.3608305663144468,0.0522000136192879,0.2067539148088007
0.49999999999999994,0.48221316460918384,0.00395734329932243,0.24365846893187912
0.5499999999999999,0.3308370367692256,0.05492091430229183,0.19306966760727395
0.6,0.2536058046754105,0.15369562008767998,0.05037003570575555
0.65,0.09978114909876624,0.06454531349138837,0.017685437665051092
0.7000000000000001,0.03041936595704754,0.01907042473912524,0.02474521742394502
0.7500000000000001,0.09663922862743296,0.08679759075165776,0.0917186520564244
0.8000000000000002,0.1016724254805238,0.03737250972642593,0.06953281099237589
0.8500000000000002,0.23944471295935305,0.02711655701270832,0.10634190403733884
0.9000000000000002,0.221597538670312,0.11427522141396818,0.1679652236805555
0.9500000000000003,0.37392977910144937,0.10644687524378887,0.24036762558611025
1.0000000000000002,0.5472639354698614,0.035984136520827825,0.29227946496579477
1.0500000000000003,0.5857959595204875,0.29926703821578254,0.44273765824517636
1.1000000000000003,0.6320996140780765,0.603575332507617,0.6178395200249284
1.1500000000000004,0.7475758579962464,0.42820168556593236,0.5881452794157109
1.2000000000000004,0.7592512039858865,0.30336803590080325,0.5318319688909112
1.2500000000000004,0.832388643899393,0.17633634452302183,0.5054439602691757
1.3000000000000005,0.6373535594196515,0.6187403469093921,0.6280478247677995
1.3500000000000005,0.7831688618316958,0.6834652424341178,0.7333420877526883
1.4000000000000006,0.779822110008646,1.121849389889598,0.9511310140764584
1.4500000000000006,0.7911361717803955,1.2363224145477512,1.0142298443752011
1.5000000000000007,1.0315501771878535,1.559893293530781,1.2964287625862387
1.5500000000000007,1.0125194604312229,1.7422736137721482,1.3787464840347907
1.6000000000000008,1.2687013070625575,1.7399383416108483,1.5048834641388167
1.6500000000000008,1.3027364162698822,2.0731536713043157,1.6894543773757396
1.7000000000000008,1.7219213136049565,1.8028895417935955,1.762422111368101
1.7500000000000009,1.6307791311536608,1.7396088041180207,1.685224084914701
1.800000000000001,2.114629048891205,2.4570810820630156,2.286155107490224
1.850000000000001,2.502064554226118,2.6249449770014035,2.5635435077664446
1.900000000000001,2.3110399294080826,2.710394641360578,2.5111262641497922
1.950000000000001,3.130209390293143,3.176545270236542,3.153382872569032
2.000000000000001,2.803869195849354,3.6830096301317354,3.24543640394005
