estimated_true_dist,empirical_min_dist,empirical_true_dist,alpha,p_aa,p_bb
1.0005000833333622,1.0,1,0.5406666666666667,0.494,0.4126666666666667
1.9996661668130487,2.0,2,0.542778519012675,0.49565508021390375,0.4095922459893048
2.9998249917794757,3.0,3,0.5422813561209152,0.49439838673537984,0.4098140264396146
3.9999759671094344,3.9996666666666667,4,0.5427114677365429,0.4932962307108525,0.4083818197149844
4.998286622047592,4.999,5,0.5460264346662205,0.49550037214967185,0.4048311793761418
5.997575106575118,5.999,6,0.5477612773559625,0.4957811880627442,0.40251429865790816
7.000167266887075,6.9990000000000006,7,0.5484790419161677,0.49585608424336974,0.40210608424336974
8.000539241640777,7.999,8,0.5474236541085108,0.4947648472365259,0.40349296258153106
9.000574531143194,8.998999999999999,9,0.5472762246250957,0.4941974031943009,0.4038454172890575
9.999397675819676,9.998999999999999,10,0.5466431095406361,0.49310941828254845,0.4046398891966759
10.996403879429545,10.999,11,0.5468364894447592,0.4935421732402816,0.4047746865822465
11.999109307927625,11.998333333333335,12,0.5477779495033229,0.493615288402804,0.40396753832281335
12.999656265114474,12.998333333333333,13,0.5475198296789605,0.49296571798188876,0.40418822768434665
13.994874717564693,13.998333333333331,14,0.5483489570137656,0.49367183968660533,0.40362111395710915
14.99567106407228,14.998333333333333,15,0.5485539751594798,0.49357737731143836,0.40370771185244436
15.999461280675504,15.998333333333333,16,0.5482734543607972,0.49346071998581315,0.40408317077496014
16.999276479771336,16.998333333333335,17,0.5481655719568229,0.49345316657239224,0.4045628810257055
17.996654406847412,17.99833333333333,18,0.5470634800965019,0.4919013454697219,0.4062444104378241
18.999726754162186,18.998333333333335,19,0.5471831300540589,0.49175434950979463,0.4062942743260857
20.001881936702834,19.99833333333333,20,0.5469367295095199,0.49139080004322605,0.4069017686682756
20.999209132004783,20.99833333333333,21,0.5471092857663613,0.49070388558628414,0.40730593607305937
22.003084177353603,21.997666666666664,22,0.5471830985915492,0.4902145214521452,0.40726072607260727
23.00040268315561,22.996999999999996,23,0.5475571167085362,0.4903686087990487,0.40707094728497817
23.99883023157966,23.996999999999996,24,0.5470883898166514,0.4893873502708477,0.4081177996490425
24.999031663724555,24.996666666666666,25,0.5473500116137672,0.4894421080492898,0.4080669352704173
26.001700899091947,25.996666666666663,26,0.546903969808939,0.48869214834993335,0.40864334156238474
27.000511723578825,26.995666666666665,27,0.5473368655883994,0.48886663282525483,0.4084841334083332
28.001430938429557,27.99566666666666,28,0.54700222057735,0.48842644851994,0.4087196717175071
28.999674236639304,28.99566666666666,29,0.5469488148240121,0.488385269121813,0.4089878959567345
29.988090770407126,29.995333333333335,30,0.5470484929265655,0.48842118411191604,0.40886834873844613
30.98854527987266,30.99533333333333,31,0.5470015848211811,0.4881085278842887,0.40939426297141196
31.99077381740517,31.995333333333335,32,0.5471216566190613,0.48791911469762395,0.4097001014605602
32.993729644042446,32.995333333333335,33,0.5466079818939398,0.48727928176161284,0.4103464903216918
33.993473710219185,33.99533333333334,34,0.5461408290858978,0.4865342657342657,0.41107692307692306
34.99170046439852,34.995000000000005,35,0.546024269716065,0.48627498062671226,0.41140131629211646
35.98755246076522,35.99433333333333,36,0.5457300552894183,0.48550261166186975,0.41173648864726575
37.000340089588036,36.994,37,0.5460460553972629,0.48538389415564115,0.4117720595895405
37.99586345581823,37.99400000000001,38,0.5457604276224429,0.48490375699277544,0.41239287934214414
38.99018506774187,38.99366666666667,39,0.5455546771600387,0.4844244062521819,0.412725803716597
39.98761734367202,39.99366666666667,40,0.5455026225670814,0.484456945298995,0.41292861816725757
41.00111680539258,40.99300000000001,41,0.5450215295507373,0.48391419628413623,0.41335873113112725
