k,A,B,1,a_in_non_trivial_cycles,b_in_non_trivial_cycles,a_in_non_trivial_cycles_part,b_in_non_trivial_cycles_part,AA,AB,BB,2,AAA,AAB,ABB,BBB,3,AAAA,AAAB,AABB,ABBB,BBBB,4,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,5,6,7,8,9,10
0,1.2335811384723962e-14,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0019283710230918935,0.001955228131567373,0.000208347874546342,100.0,100.0,100.0,100.0,2.590004358463376,17.006041074853783,0.9349490897950903,0.4152679246586599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0025388961648928157,0.0007401868364305299,0.0007340623796737058,100.0,100.0,100.0,100.0,0.0736761583430528,10.23786430751897,1.117142013306627,0.7294832144247613,337.9734955484976,0,0,0,721.6668372659572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.009866495107926669,0.007926109181430429,6.910516348832971e-05,99.99999999999997,100.0,99.99999999999997,100.0,1.060204318863496,2.8361761287823226,1.9979254086147629,0.04095677146573915,11.069069540799074,31.951289643576242,0,28.995284192271484,2.0489109629060382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.017605746666216098,0.014317525589543202,1.989109986911142e-05,99.99999999999963,99.99999999999996,99.99999999999963,99.99999999999996,1.8875023526115409,0.9035148410373219,2.2130127303724234,0.00041732243023158503,1.5521791309840178,59.93711353381318,0,30.40110365953168,1.6787246768118067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.010005780647872947,0.007082855352413596,0.000589223245071585,99.99999999999784,99.99999999999972,99.99999999999784,99.99999999999972,0.8280588001002428,1.0300289458553384,0.6928884988380715,0.2430199327185662,11.573774799886046,44.027991605983715,0,41.92775788887882,14.480724986914783,60.81123730536281,0,0,0,0,28.757640130651662,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0053748054321821155,0.005953526189397777,0.0008690501717231209,99.99999999999086,99.99999999999878,99.99999999999086,99.99999999999878,0.3886333156479761,1.7638449150454139,0.8288066748583796,0.321954680087819,19.619244684130855,19.924529059201195,0,12.98618319894673,20.11586034354569,77.64690827554993,0,0,0,0,59.323856621723436,0,0,0,0,0,0,0,0,0,0,0,0
7,0.011639780494167168,0.011393674307044306,0.0010595449287225506,99.99999999996922,99.99999999999591,99.99999999996922,99.99999999999591,0.5723631257513055,0.9771558759980107,1.2420164707387131,0.32078530059023747,20.279421768438944,22.65519231472598,637.075593308503,2.022430839424782,14.664984348349194,64.84949780379145,0,0,0,0,35.973487392561616,0,0,0,0,0,0,0,0,0,0,0,0
8,0.004195227430209473,0.006065115806194118,0.0014641121545960357,99.9999999999128,99.99999999998828,99.9999999999128,99.99999999998828,0.32196383591868,1.882176752407523,1.0379221457258379,0.3966352001566243,21.92595486063666,17.346682259256045,857.2226987038143,2.292381511175163,17.11564787520935,48.04098132391464,81.37424893449149,0,0,0,43.15825943171961,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0011598678438180868,0.00024978401904991466,0.0006576821436026841,99.99999999978179,99.99999999997047,99.99999999978179,99.99999999997047,0.43253621667722764,1.1124816736740542,0.1853214529579292,0.18021941155731547,17.016358036452367,15.868025523742945,140.91569440946392,7.978711967903752,8.201162096911595,56.043477917280384,73.71694331369572,0,0,0,42.696908789569285,0,0,0,0,0,0,0,0,0,0,0,0
10,0.000374455883490717,0.0015222475130420054,0.0006725139422993527,99.99999999950398,99.99999999993298,99.99999999950398,99.99999999993298,0.20048905054668065,0.630330949330343,0.35495807178813943,0.18045885987449545,11.026405581983704,5.782052282567479,111.2365677372101,2.816503046927059,8.392132317283682,57.34977525332677,76.17891194697715,0,0,0,45.458078345857984,0,0,0,0,0,0,0,0,0,0,0,0
11,0.005654266078101852,0.005103625968106976,0.00028594506035408405,99.99999999895834,99.99999999985985,99.99999999895834,99.99999999985985,0.15259220291848885,1.5168031510288955,0.38917410641301087,0.083996776855987,11.734372382614877,3.5173549404753675,27.0695642973941,8.631205071607395,4.25085636006042,43.784905563451005,68.57725218111055,0,0,39.753333472232306,34.58182844350331,0,0,0,0,0,0,0,0,0,0,0,0
12,0.018367494825667977,0.015827621617467938,0.0005189558350701014,99.99999999794845,99.99999999972664,99.99999999794845,99.99999999972664,0.2680549840762157,2.4799982897920345,1.1957919832750452,0.11442050797248718,6.950175383746051,6.208238985541177,31.566032846851495,5.965633795183869,4.271264078601799,36.76169143597518,59.569012129303836,0,44.548843748838515,80.25412148497907,28.764457421471064,0,0,0,0,0,0,0,0,0,0,0,0
13,0.019994092862547157,0.016266364533574055,4.013473663081616e-05,99.99999999619418,99.99999999949287,99.99999999619418,99.99999999949287,0.374245374952745,2.140161592776502,1.005087461228885,0.016410626218304258,3.4564353222506683,2.6073550709928512,22.821682636105567,7.751755708215556,1.0713354298645723,20.380374742206932,49.05457592799692,0,30.015264541861445,13.841044534440924,16.635256909544513,0,0,0,0,0,0,0,0,0,0,0,0
