k,A,B,1,a_in_non_trivial_cycles,b_in_non_trivial_cycles,a_in_non_trivial_cycles_part,b_in_non_trivial_cycles_part,AA,AB,BB,2,AAA,AAB,ABB,BBB,3,AAAA,AAAB,AABB,ABBB,BBBB,4,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,5,6,7,8,9,10
0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.00020026726784376145,0.00020026726784376145,0.00020026726784376145,100.0,100.0,100.0,100.0,3.4813495422328797,13.39060962226163,3.4813495422328797,0.3992010656008599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0018082515926775512,0.002810231529901001,0.0005009366429018505,100.0,100.0,100.0,100.0,2.2713314265011,8.145193070642552,0.9701694490646962,0.498303426573657,0,42.28232665211795,42.28232665211795,152.9463584926543,163.4857900965148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0092581249625064,0.010057575568136266,0.00039879256582025976,100.0,100.0,100.0,100.0,4.190338790361755,7.368276919194051,0.6963102651326041,0.2619401552560046,29.284405670202325,59.110087242044656,218.22017448408934,88.57491821279379,26.2778470174958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.00504849023965375,0.005435083949517258,0.00019302209214341187,99.99999999999993,100.0,99.99999999999993,100.0,2.5800463901274515,6.161876514394765,0.549406902200266,0.08859694870200512,16.6902861006584,12.46811376411111,40.58514220513891,11.07961853245549,4.1371423741769915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0013972975900058767,0.0002188017227313762,0.000589241404227646,99.9999999999996,99.99999999999994,99.9999999999996,99.99999999999994,0.5331972622313108,3.9962122128545516,0.9993480996141398,0.22407641421465713,19.439450282893326,9.175122524207133,45.566830032276165,8.663949783669814,10.277901539603192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.00908041461591426,0.005696340764505052,0.0016914910536976462,99.9999999999983,99.99999999999982,99.9999999999983,99.99999999999982,0.968482526670234,2.614891794722289,0.8646450029695364,0.5819032833086311,48.16874907900776,25.01738203541269,56.27172754426588,23.47395756583981,36.18451202114679,0,0,0,81.44362892614548,71.89094085853989,45.09949386433571,0,0,0,0,0,0,0,0,0,0,0,0
7,0.015167560851277745,0.012213905763029735,0.0014749532100198103,99.99999999999429,99.99999999999936,99.99999999999429,99.99999999999936,1.6725378460277645,1.1369852199168269,1.1775335207540534,0.4429052565638626,36.682528721605124,5.71539330811641,53.76784481180568,7.39341542411831,22.037972072861688,0,0,0,85.38398210929104,55.71951976305922,42.34312469148338,0,0,0,0,0,0,0,0,0,0,0,0
8,0.023103979600075278,0.02079379159824605,0.0011502765207705879,99.99999999998377,99.99999999999814,99.99999999998377,99.99999999999814,2.0473747581089663,1.2357851289537334,1.948061271494483,0.3209487117769024,30.13453306231534,9.801012271328508,37.25126533916065,2.399100203263511,15.095400703698674,34.428697974137705,0,0,85.57089838232979,34.428697974137705,48.772420292295095,0,0,0,0,0,0,0,0,0,0,0,0
9,0.02475077942361886,0.021678876038983334,0.0015305624928273242,99.99999999995913,99.99999999999534,99.99999999995913,99.99999999999534,1.7344352988329637,1.2313692679396477,1.5114018280983013,0.358514388292105,2.322667502194218,20.11791402431491,53.4840012532913,4.499745534155806,12.855883274478911,7.381654453402422,0,0,79.61914010758464,7.381654453402422,27.64191754172065,0,0,0,0,0,0,0,0,0,0,0,0
10,0.025376121920011617,0.022166783614793368,0.0015990184236235638,99.99999999990673,99.99999999998938,99.99999999990673,99.99999999998938,1.229561639442485,2.2594670241787327,1.5633656609221258,0.34338355436955975,2.785596533238846,9.366203900106253,54.10692367742245,11.616537313688742,11.451424092810473,26.03615182665535,0,0,72.26548221522818,57.98794939111489,29.667325989589642,0,0,0,0,0,0,0,0,0,0,0,0
11,0.017200681668629432,0.013467775936950229,0.001864101524002201,99.99999999980291,99.99999999997779,99.99999999980291,99.99999999997779,0.7402778670107232,1.6215557737989623,0.7079027237839132,0.3456070036588983,5.851981648385768,7.3101590751128915,56.83792480208809,8.199961389168593,8.91522555700565,66.41743898197286,0,0,63.37949584901901,44.527520339342374,7.133125568095524,0,0,0,0,0,0,0,0,0,0,0,0
12,0.01882075417418131,0.014777325777640661,0.0020188921778823885,99.99999999961216,99.99999999995632,99.99999999961216,99.99999999995632,0.672119453494937,1.569660542770612,0.6388512532341066,0.3345639166080843,4.713636268932504,0.49733674761016994,30.37492334825104,14.343636477280997,7.197159197450901,114.33355192548352,41.493633888307414,0,52.8354553705642,28.555482691505503,4.655054651114973,0,0,0,0,0,0,0,0,0,0,0,0
13,0.02084826376193102,0.01712776282148293,0.0018566450908054715,99.99999999927816,99.99999999991863,99.99999999927816,99.99999999991863,0.7137951009045664,1.3881320898317064,0.7040005626892201,0.2886380467192172,3.803699639471918,1.2722180510369892,19.73369300193388,13.686536789715001,5.620937895850094,35.167452394454145,78.4632769895528,0,40.5122410034824,9.888365070363909,17.332857981297014,0,0,0,0,0,91.43960453033911,58.201193995796416,0,0,0,0,0
14,0.02781213816088304,0.023198637769261798,0.002300245097720205,99.99999999872104,99.99999999985532,99.99999999872104,99.99999999985532,1.0831466283164644,1.4330014708447876,0.9536541656095185,0.34968456439665496,1.1696989162916462,2.976300682653937,13.815911280828029,14.191541351061863,7.587179817698176,11.650472053463334,10.560135412316233,96.2605954064784,44.719932293841886,16.262145959902494,6.542573615962622,0,0,0,0,0,88.60039988187117,44.33789004819911,0,0,0,0,0
15,0.04077455270431285,0.036100936910735994,0.0023220336397755475,99.99999999782845,99.99999999975256,99.99999999782845,99.99999999975256,1.540561047125072,1.1443806594560886,1.3558242422509812,0.32128137338604473,2.514006904402327,4.265388742210526,13.889886164568392,12.483838187228075,5.997173549498106,36.230979079755386,10.066267716880228,139.46851791363238,32.549700787660164,18.261412552146773,0.22145086931978533,0,0,0,0,0,85.126966167375,27.37776448913575,0,0,0,0,0
16,0.04613165291383563,0.038953881042763615,0.003570787714833072,99.99999999643217,99.99999999959307,99.99999999643217,99.99999999959307,1.7795812009707377,1.067369858327828,1.2008091199708042,0.4637220288388937,0.5694218869573284,4.655054651114914,21.339193798394096,12.759654842952141,8.42274504130013,1.5900653984027677,18.792583263330393,188.31035527811684,35.03406661066432,1.5900653984027677,3.896548240627705,0,0,0,0,0,80.93786611927393,6.9231744105172766,0,0,0,0,0
17,0.05004768069851629,0.04451855968170577,0.0027422041919042918,99.99999999431593,99.99999999935095,99.99999999431593,99.99999999935095,1.7480479380598224,1.1056783884643446,1.4527502447309635,0.3611791040612948,0.6170758293225547,10.530817124270499,7.989878799574631,12.096876427298959,7.176813319221936,26.813425435015187,3.370850769668464,243.0620682733662,44.78334329695341,2.417900580020256,12.035367109393249,0,81.53662393072275,0,0,0,75.94838045117557,41.28022571087784,0,0,0,0,0
18,0.056041228412302774,0.0484615728889292,0.0037625267076501997,99.9999999911967,99.99999999899359,99.9999999911967,99.99999999899359,2.0636975611653035,1.095033217586654,1.5432320375974802,0.45431995363305566,5.756851361258509,10.209771418574604,2.646355732986158,10.137312660245536,7.317838097218021,23.391793733309115,13.790118878551617,303.9885877345025,34.97707492654194,14.912309400036305,0.24973142357957898,0,77.02463044114626,0,0,0,70.07075815659189,26.930561905741936,0,0,0,0,0
19,0.05830065220459063,0.04869890724706884,0.004772251588500451,99.99999998668501,99.99999999847917,99.99999998668501,99.99999999847917,1.9788036480475146,1.3749206125552678,1.4372576303471434,0.516875178643798,4.114786932864431,8.37181677240913,4.466526077907897,10.23918616420941,6.834203009469098,10.619202482580048,32.761907249995865,371.34404940826914,33.61904637500207,34.0711962761299,12.224773668635532,0,71.76134911037165,0,0,0,63.21445843809864,10.191548921139232,0,0,0,0,0
20,0.05534337150256712,0.043961253883303415,0.00566640669104085,99.9999999802787,99.99999999775484,99.9999999802787,99.99999999775484,1.7961333631238459,1.7177166476831915,1.2466516464640431,0.5851762008900221,4.632088386908901,9.159438365188572,7.324825955689622,10.219238737666169,7.668641786604826,3.4186950994252556,22.89049628611392,172.6860124691876,44.140683506311845,32.96689369926102,6.935691164387323,0,65.67531357975788,0,0,0,55.286384471901144,9.164100410397582,0,0,0,0,0
21,0.07198862139520638,0.05880752897182088,0.00654777994784605,99.99999997150168,99.99999999673564,99.99999997150168,99.99999999673564,2.459932417289106,1.1364240757930595,1.5011506268766983,0.642945618290429,6.336313827415108,11.972138460268102,2.9155684377464195,10.589766380511726,7.997818730968484,6.889514503026375,41.127562117277044,25.261149808234,35.851108128510425,33.61189312878299,7.060811801909449,0,0,0,0,0,46.191109208566424,162.73872456754674,81.71576697092537,0,0,0,0
22,0.05959504477769047,0.0513911517676548,0.004071152928600663,99.99999995928992,99.99999999536377,99.99999995928992,99.99999999536377,1.8668324992052345,0.6326052384061153,1.2780660445553116,0.38202488175847055,1.2893233715621915,6.77877970813283,1.1216258163112187,7.29461922363109,4.085654384887522,21.91886385934562,60.970999939292206,10.703957134268409,38.088076946426064,52.39857982418204,8.237627716038364,0,0,0,0,0,67.91554670327494,56.66236961291524,77.20276666742232,0,0,0,0
23,0.06558588610361166,0.05797824700870584,0.0037656507618451375,99.9999999430366,99.99999999350256,99.9999999430366,99.99999999350256,1.9127133160160046,0.6233138818708069,1.406252275707913,0.3495228978858337,0.36514423058865325,9.139496615835391,0.5406271854968506,8.029001127273826,4.0205886983131816,25.63751315591435,52.05738083127919,19.0226965987271,46.332689118372045,38.201264471505766,0.02802049225564584,0,0,0,0,0,62.053448045544876,85.28589821511294,71.8682734995639,0,0,0,0
24,0.06801014161938246,0.057274234805724904,0.005328715075677716,99.99999992143097,99.99999999104507,99.99999992143097,99.99999999104507,2.151300860994282,0.3512962264673693,1.1159948319951267,0.5059031411474486,3.3012490111797597,9.482002096071138,0.8710581109868989,10.833631751578293,6.230317972758713,19.82419652953557,46.90499987465934,29.790509845975308,45.87710530933604,29.80954624033019,4.924648749758173,0,0,0,0,0,55.458688813530976,117.48687102768069,65.61239882382898,0,0,0,0
25,0.07189809864162428,0.056376829944123345,0.007719501397669195,99.99999989315738,99.99999998782832,99.99999989315738,99.99999998782832,2.274822547147674,0.9157448493255176,1.1104501101753976,0.672102173974763,8.265154267302906,9.412030901490388,1.194237400184715,11.418508275088447,7.588497053132243,9.164100410397646,44.13072632310311,26.899039903751632,39.313378390272376,34.35581588972018,2.532053205002132,0,0,0,0,0,48.079947795239626,153.51587990605637,58.32897508665335,0,0,0,0
26,0.07029551546172653,0.05970476316464468,0.005253128204621134,99.99999985641097,99.99999998365273,99.99999985641097,99.99999998365273,2.102119352616136,0.9433196662383355,1.3707883753031538,0.5058904804410599,8.23073921699339,12.54534301010325,2.706128706219153,10.163430988725409,7.401673665888282,2.546938011313224,7.223746589115042,32.82187822471042,50.51211695886998,8.281179987429777,18.134188517568234,0,0,0,0,0,39.86524680974158,193.62672456180877,49.905580891253265,0,0,0,0
