x,A,B,1,AA,AB,BB,2,AAA,AAB,ABB,BBB,3,AAAA,AAAB,AABB,ABBB,BBBB,4,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,5,6,7,8,9,10
0.0,0.0,1.8503717077085944e-14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0.005549640927253574,0.012202903429310605,0.00022942751392750815,3.671063236389076,4.293826413106403,6.684152755332529,0.45718124903433227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0.006612651640830542,0.015091686796063083,0.00011554498173807089,2.187654213634894,1.1267378211935075,3.1625750054592303,0.1129703984099956,54.69529697038245,54.040780686847675,23.642912514255972,220.51859166598325,12.883001187476637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.008908915922095995,0.02002041131737231,0.0002587089539046836,1.8771902205065532,1.3902455737138084,2.8181966422101974,0.16666858705959425,42.01262728581488,14.820339081718483,38.01292990298618,78.58704654935255,12.042918447433697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0.010862558374021522,0.02464912813202099,0.00025606083796844356,2.5329999642978636,0.874252471350663,2.092655801276165,0.11698816916598505,20.179928798817425,52.15261203263619,11.475683621841007,25.794490943116703,4.667749368591285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0.014343267076004718,0.03236256543312789,0.00040854951640536863,2.560639010577368,0.4252450553399821,2.3823414844384367,0.14617012543195537,14.043847279706686,18.13845677112151,0.6426492468182996,14.526747998771263,4.134567815361708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0.01272492085497534,0.027235756454144784,0.0008171264358999729,2.434334533943621,1.8563233381194435,0.883092608359224,0.24835605377118028,5.77208821545914,3.3865507162811004,26.877588797206883,6.81179092067607,6.601194105396687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0.014503976033276493,0.029926449303421948,0.0012793215401624666,2.738095040990171,2.901395555929601,0.28908060111067685,0.3333448207432399,3.3590353550655987,12.871194831341901,26.64778768463648,10.123855929953429,7.650049185487399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0.012175121875761133,0.021377343755333802,0.0022007261287745514,2.218645658049766,2.212728223047078,0.38670089492847676,0.5096549236679734,4.528218045155383,3.266382065010422,17.966144631220438,15.337127927389762,11.423102224708536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009000000000000001,0.02136259025249922,0.04158898981082155,0.002666543087150457,2.8258327929114406,2.0556767402124168,0.38702154198881805,0.5408936632858892,3.8949284010199166,14.905375265189857,5.341117699969918,21.458430826065207,9.852526859867758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010000000000000002,0.01977798308542569,0.0416681825713484,0.001550598001362038,2.1728292793842447,1.8793210646506144,0.5880865404589007,0.24015518024710777,8.952620777799966,6.009076187900797,0.11414665988668744,10.843964649112793,0.3258790995351713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011000000000000003,0.012748156162356875,0.028670497299183997,0.00047785837580557026,1.1799057058555686,1.6496264726920877,0.19288443520143833,0.01454749858966576,16.43985550330195,2.040799386078046,8.27383252563537,8.55068645986607,3.9669242530857316,0,0,0,32.985889914051995,0,349.6001974706506,0,0,0,0,0,0,0,0,0,0,0,0
0.012000000000000004,0.009123958223932012,0.019426639194148724,0.0006765116119891192,0.8081960428664897,1.7073290667332222,0.3168228540484884,0.021836965854705504,17.93670776766372,0.2659273845126949,9.543329906058757,8.174778981207453,4.5090222361455785,0,0,0,70.76309092076261,0,477.65203585537427,0,0,0,0,0,0,0,0,0,0,0,0
