AA-cycles,AB-cycles,BB-cycles,all,x
0.02046826882694955,0.0,0.02046826882694955,0.0409365376538991,0.05
0.03351600230178197,0.0,0.03351600230178197,0.06703200460356394,0.1
0.04116087270705199,0.0,0.04116087270705199,0.08232174541410398,0.15000000000000002
0.044932896411722156,0.0,0.044932896411722156,0.08986579282344431,0.2
0.04598493014643029,0.0,0.04598493014643029,0.09196986029286058,0.25
0.04517913178683032,0.0,0.04517913178683032,0.09035826357366064,0.3
0.043154468689781136,0.0,0.043154468689781136,0.08630893737956227,0.35
0.040379303598931084,0.0,0.040379303598931084,0.08075860719786217,0.39999999999999997
0.03719224984985697,0.0,0.03719224984985697,0.07438449969971395,0.44999999999999996
0.033833820809153176,0.0,0.033833820809153176,0.06766764161830635,0.49999999999999994
0.030470868549641823,0.0,0.030470868549641823,0.06094173709928365,0.5499999999999999
0.027215385986823753,0.0,0.027215385986823753,0.054430771973647506,0.6
0.02413891291965851,0.0,0.02413891291965851,0.04827782583931702,0.65
0.021283521918826286,0.0,0.021283521918826286,0.04256704383765257,0.7000000000000001
0.018670150637948975,0.0,0.018670150637948975,0.03734030127589795,0.7500000000000001
0.01630488159134648,0.0,0.01630488159134648,0.03260976318269296,0.8000000000000002
0.014183639733138576,0.0,0.014183639733138576,0.02836727946627715,0.8500000000000002
0.012295675101281643,0.0,0.012295675101281643,0.024591350202563287,0.9000000000000002
0.010626116631678648,0.0,0.010626116631678648,0.021252233263357297,0.9500000000000003
0.009157819444367084,0.0,0.009157819444367084,0.018315638888734168,1.0000000000000002
0.00787267783075079,0.0,0.00787267783075079,0.01574535566150158,1.0500000000000003
0.006752536946687636,0.0,0.006752536946687636,0.013505073893375272,1.1000000000000003
0.005779805553164302,0.0,0.005779805553164302,0.011559611106328605,1.1500000000000004
0.004937848229412011,0.0,0.004937848229412011,0.009875696458824022,1.2000000000000004
0.004211216874428411,0.0,0.004211216874428411,0.008422433748856822,1.2500000000000004
0.0035857668734944966,0.0,0.0035857668734944966,0.007171533746988993,1.3000000000000005
0.0030486921362635456,0.0,0.0030486921362635456,0.006097384272527091,1.3500000000000005
0.002588504601538047,0.0,0.002588504601538047,0.005177009203076094,1.4000000000000006
0.002194977190397461,0.0,0.002194977190397461,0.004389954380794922,1.4500000000000006
0.0018590641324997647,0.0,0.0018590641324997647,0.0037181282649995295,1.5000000000000007
0.0015728087431291903,0.0,0.0015728087431291903,0.0031456174862583806,1.5500000000000007
0.0013292458185391442,0.0,0.0013292458185391442,0.0026584916370782884,1.6000000000000008
0.001122303630977009,0.0,0.001122303630977009,0.002244607261954018,1.6500000000000008
0.0009467088756680799,0.0,0.0009467088756680799,0.0018934177513361598,1.7000000000000008
0.0007978967198601993,0.0,0.0007978967198601993,0.0015957934397203986,1.7500000000000009
0.0006719272275390093,0.0,0.0006719272275390093,0.0013438544550780187,1.800000000000001
0.0005654088040448527,0.0,0.0005654088040448527,0.0011308176080897054,1.850000000000001
0.0004754288617685785,0.0,0.0004754288617685785,0.000950857723537157,1.900000000000001
0.0003994916045052906,0.0,0.0003994916045052906,0.0007989832090105812,1.950000000000001
0.0003354626279025108,0.0,0.0003354626279025108,0.0006709252558050216,2.000000000000001
