AA,AB,BB,all,x
0.00935506985031618,0.004803053010897994,0.007397908918248191,0.021556031779462366,0.05
0.017503466380858954,0.004613863645099255,0.003648603757513075,0.025765933783471286,0.1
0.02456192259233946,0.0033240947508700143,0.001349601913842991,0.029235619257052464,0.15000000000000002
0.030637133534585952,0.0021287737735568584,0.00044374364597795106,0.03320965095412076,0.2
0.035826565528689465,0.0012780766603253683,0.00013678229483317706,0.037241424483848005,0.25
0.040219202762138355,0.0007366403941841058,4.04761183521926e-05,0.040996319274674654,0.3
0.04389623596911393,0.0004127810007107559,1.1644835880757137e-05,0.044320661805705444,0.35
0.046931697560802545,0.00022658388894917537,3.281807055763419e-06,0.04716156325680748,0.39999999999999997
0.049393047248462385,0.00012243312337931016,9.104441132175763e-07,0.049516390815954915,0.44999999999999996
0.05134171190325921,6.533919798673797e-05,2.4945861573106987e-07,0.051407300559861674,0.49999999999999994
0.05283358311987793,3.452103947818475e-05,6.766731099519334e-08,0.052868171826667115,0.5499999999999999
0.05391947569406659,1.8087969011457153e-05,1.820351285400781e-08,0.0539375818665909,0.6
0.054645549986128646,9.411726352330122e-06,4.863008586442852e-09,0.054654966575489565,0.65
0.055053700921603756,4.86823298707923e-06,1.2914495494263657e-09,0.055058570446040386,0.7000000000000001
0.05518191617571634,2.5052551185368368e-06,3.412152192560322e-10,0.055184421772050095,0.7500000000000001
0.05506460589846598,1.2835064682832993e-06,8.975214626048742e-11,0.0550658894946864,0.8000000000000002
0.05473290616140491,6.550046457432342e-07,2.3515894698521688e-11,0.05473356118956655,0.8500000000000002
0.05421495814419637,3.331082155647401e-07,6.140062839203954e-12,0.054215291258552,0.9000000000000002
0.053536164928042085,1.6888217742632526e-07,1.5982386798116148e-12,0.05353633381181774,0.9500000000000003
0.05271942762314536,8.53842158710024e-08,4.148640064164064e-13,0.052719513007776095,1.0000000000000002
0.05178536242773737,4.3061016087850104e-08,1.0741941465248358e-13,0.051785405488860875,1.0500000000000003
0.05075250009609182,2.166731212098883e-08,2.775069683224353e-14,0.05075252176343169,1.1000000000000003
0.04963746918169865,1.0879966911718069e-08,7.154293840008614e-15,0.04963748006167272,1.1500000000000004
0.048455164318717305,5.4529103826571796e-09,1.8409326679223495e-15,0.048455169771629523,1.2000000000000004
0.04721890070939046,2.7281893366227574e-09,4.728837570110109e-16,0.04721890343758026,1.2500000000000004
0.04594055589671515,1.3627783527868402e-09,1.2127616672726444e-16,0.04594055725949362,1.3000000000000005
0.04463069981982836,6.797246542483259e-10,3.105657814855105e-17,0.04463070049955304,1.3500000000000005
0.043298714073791336,3.3856703452123135e-10,7.942104470064473e-18,0.04329871441235838,1.4000000000000006
0.041952901225308564,1.6842323936390037e-10,2.028445237111569e-18,0.041952901393731805,1.4500000000000006
0.04060058497098379,8.368404278606631e-11,5.1745700378640585e-19,0.040600585054667834,1.5000000000000007
0.0392482018646159,4.1533685678998824e-11,1.3185677030751558e-19,0.03924820190614959,1.5500000000000007
0.03790138528441717,2.0592360676563275e-11,3.356436565984945e-20,0.037901385305009534,1.6000000000000008
0.03656504225957016,1.019970186974725e-11,8.535522876730515e-21,0.036565042269769865,1.6500000000000008
0.035243423727919464,5.047424540531978e-12,2.1686168763605985e-21,0.03524342373296689,1.7000000000000008
0.033940188752541754,2.4956078449526034e-12,5.505029946531404e-22,0.03394018875503736,1.7500000000000009
0.032658463184188476,1.2329009252969436e-12,1.396310061828621e-22,0.03265846318542138,1.800000000000001
0.031400893218906434,6.086179848647114e-13,3.538904281338321e-23,0.03140089321951505,1.850000000000001
0.0301696942652897,3.0022305107638624e-13,8.962690798757738e-24,0.030169694265589922,1.900000000000001
0.02896669550359019,1.479934261766397e-13,2.2683347697136755e-24,0.028966695503738184,1.950000000000001
0.027793380489120608,7.290464319905857e-14,5.73707146066232e-25,0.02779338048919351,2.000000000000001
